dcterms:title,dcterms:spatial,dcterms:date,art:url
FN-21A,"-1.940278, 29.873888", ,https://scalar.usc.edu/works/decoding-diaspora/media/FN-21A.jpg
FN-21C,"51.507359,  -0.136439",1651,https://scalar.usc.edu/works/decoding-diaspora/media/FN-21C.jpg
FN-21D,"31.76904, 35.21631",,https://scalar.usc.edu/works/decoding-diaspora/media/FN-21D.jpg
FN-22A,"51.507359,  -0.136439",1947,https://scalar.usc.edu/works/decoding-diaspora/media/FN-22A.jpg
FN-22C,"17.712061, -64.876327",1848,https://scalar.usc.edu/works/decoding-diaspora/media/FN-22C.jpg
FN-22D,"36.726017, 3.082667", ,https://scalar.usc.edu/works/decoding-diaspora/media/FN-22D.jpg
FN-23A,"30.033333, 31.233334",1500BC,https://scalar.usc.edu/works/decoding-diaspora/media/FN-23A.jpg
FN-23C," 37.98869, -84.47772",1926,https://scalar.usc.edu/works/decoding-diaspora/media/FN-23C.jpg
FN-24A,"40.7128, 74.0060",1765 - 1791,https://scalar.usc.edu/works/decoding-diaspora/media/FN-24A.jpg
FN-24C,"8.983333, -79.516670",1513,https://scalar.usc.edu/works/decoding-diaspora/media/FN-24C.jpg
FN-24D,"21.050, -102.979",,https://scalar.usc.edu/works/decoding-diaspora/media/FN-24D.jpg
FN-25A,"38.900497,-77.007507",,https://scalar.usc.edu/works/decoding-diaspora/media/FN-25A.jpg
FN-25B,"38.900497,-77.007507",1867,https://scalar.usc.edu/works/decoding-diaspora/media/FN-25B.jpg
FN-25C,"30.033333, 31.233334",1802 - 1811,https://scalar.usc.edu/works/decoding-diaspora/media/FN-25C.jpg
FN-26A,"-21.1087, 55.5261",1865,https://scalar.usc.edu/works/decoding-diaspora/media/FN-26A.jpg
FN-26D,"40.367474,  -82.996216",,https://scalar.usc.edu/works/decoding-diaspora/media/FN-26D.jpg
FN-26C,"35.117500,  -89.971107",1868,https://scalar.usc.edu/works/decoding-diaspora/media/FN-26C.jpg
FN-27A,"-24.143474, -10.030696",,https://scalar.usc.edu/works/decoding-diaspora/media/FN-27A.jpeg
FN-27C,"41.047867, 28.898272",1066AD,https://scalar.usc.edu/works/decoding-diaspora/media/FN-27C.jpeg
FN-27D,"30.1200, -90.5000",1811,https://scalar.usc.edu/works/decoding-diaspora/media/FN-27D.jpeg
FN-28A,"30.033333, 31.233334",1808,https://scalar.usc.edu/works/decoding-diaspora/media/FN-28A.jpeg
FN-28B,"40.618139,  -0.101549",,https://scalar.usc.edu/works/decoding-diaspora/media/FN-28B.jpeg
FN-28C,"30.033333, 31.233334",,https://scalar.usc.edu/works/decoding-diaspora/media/FN-28C.jpeg
FN-29A,"52.377956, 4.897070",1606 - 1669,https://scalar.usc.edu/works/decoding-diaspora/media/FN-29A.jpeg
FN-29C,"29.931389, 32.562778",,https://scalar.usc.edu/works/decoding-diaspora/media/FN-29C.jpeg
FN-30A,"41.505493, -81.681290",,https://scalar.usc.edu/works/decoding-diaspora/media/FN-30A.jpeg
FN-30C,"19.432608, -99.133209",,https://scalar.usc.edu/works/decoding-diaspora/media/FN-30C.jpeg
FN-30D,"12.769013, -85.602364",,https://scalar.usc.edu/works/decoding-diaspora/media/FN-30D.jpeg
FN-31A,"38.900497,-77.007507",1866-1923,https://scalar.usc.edu/works/decoding-diaspora/media/FN-31A.jpeg
FN-31C,"17.712061, -64.876328",1848,https://scalar.usc.edu/works/decoding-diaspora/media/FN-31C.jpeg
FN-31D,"40.7128, 74.0060",1940-1950,https://scalar.usc.edu/works/decoding-diaspora/media/FN-31D.jpeg
FN-32A,"9.30769, 2.315834",1485,https://scalar.usc.edu/works/decoding-diaspora/media/FN-32A.jpeg
FN-32C,"9.036000, 38.752300",,https://scalar.usc.edu/works/decoding-diaspora/media/FN-32C.jpeg
FN-32D,"34.799999, -92.199997",1960,https://scalar.usc.edu/works/decoding-diaspora/media/FN-32D.jpeg
FN-33A," 37.98869, -84.47772",1814,https://scalar.usc.edu/works/decoding-diaspora/media/FN-33A.jpeg
FN-33C,"9.036000, 38.752300",690BC,https://scalar.usc.edu/works/decoding-diaspora/media/FN-33C.jpeg
FN-33D,"48.858093,  2.294690",,https://scalar.usc.edu/works/decoding-diaspora/media/FN-33D.jpeg
FN-34A," 39.799999, -89.650002",,https://scalar.usc.edu/works/decoding-diaspora/media/FN-34A.jpeg
FN-34C,"30.033333, 31.233334",4500BC,https://scalar.usc.edu/works/decoding-diaspora/media/FN-34C.jpeg
FN-34D,,1898,https://scalar.usc.edu/works/decoding-diaspora/media/FN-34D.jpeg
FN-35A,"30.033333, 31.233334",660BC,https://scalar.usc.edu/works/decoding-diaspora/media/FN-35A.jpg
FN-35D,"42.648613, -73.761391",1892,https://scalar.usc.edu/works/decoding-diaspora/media/FN-35D.jpg
FN-35C,"40.7128, 74.0060",,https://scalar.usc.edu/works/decoding-diaspora/media/FN-35C.jpg
FN-36A,"9.30769, 2.315834",1500AD,https://scalar.usc.edu/works/decoding-diaspora/media/FN-36A.jpg
FN-36C,"41.40338, 2.17403",1700,https://scalar.usc.edu/works/decoding-diaspora/media/FN-36C.jpg
FN-37A,"14.600000, -61.000000",1848,https://scalar.usc.edu/works/decoding-diaspora/media/FN-37A.jpg
