dcterms:title,dcterms:spatial,dcterms:date,art:url
FN-89A,"37.22792, -77.401927",,https://scalar.usc.edu/works/decoding-diaspora/media/FN-89A.jpg
FN-89C,"37.828724, -122.35553",1915,https://scalar.usc.edu/works/decoding-diaspora/media/FN-89C.jpg
FN-89D,,1870,https://scalar.usc.edu/works/decoding-diaspora/media/FN-89D.jpg
FN-90A,"6.465422, 3.40644",800AD,https://scalar.usc.edu/works/decoding-diaspora/media/FN-90A.jpg
FN-90B,"33.836082,  -81.163727",1890,https://scalar.usc.edu/works/decoding-diaspora/media/FN-90B.jpg
FN-90C,"30.26666, -97.733330",,https://scalar.usc.edu/works/decoding-diaspora/media/FN-90C.jpg
FN-91A," 37.541290, -77.434769",1841,https://scalar.usc.edu/works/decoding-diaspora/media/FN-91A.jpg
FN-91C,"39.382603, -77.269424",1818,https://scalar.usc.edu/works/decoding-diaspora/media/FN-91C.jpg
FN-91D,"40.610306, -75.477104",,https://scalar.usc.edu/works/decoding-diaspora/media/FN-91D.jpg
FN-92A,,1850 - 1909,https://scalar.usc.edu/works/decoding-diaspora/media/FN-92A.jpg
FN-92C,"42.827061, 13.929301",,https://scalar.usc.edu/works/decoding-diaspora/media/FN-92-1C.jpg
FN-92D,"42.88023, -78.878738",615,https://scalar.usc.edu/works/decoding-diaspora/media/FN-92-1D.jpg
FN-93A,"17.1554, 62.5796",,https://scalar.usc.edu/works/decoding-diaspora/media/FN-93A.jpg
FN-93C,"38.900497,-77.007507",1905 - 1913,https://scalar.usc.edu/works/decoding-diaspora/media/FN-93C.jpg
FN-93D,"37.76627, -84.852119",1799,https://scalar.usc.edu/works/decoding-diaspora/media/FN-93D.jpg
FN-94A,"30.033333, 31.233334",1714 - 1799,https://scalar.usc.edu/works/decoding-diaspora/media/FN-94A.jpg
FN-94C,"32.116669, 20.066668",624BC,https://scalar.usc.edu/works/decoding-diaspora/media/FN-94C.jpg
FN-95A,"43.769562, 11.255814",1500,https://scalar.usc.edu/works/decoding-diaspora/media/FN-95A.jpg
FN-95C,"23.113592, -82.366592",1858 - 1909,https://scalar.usc.edu/works/decoding-diaspora/media/FN-95C.jpg
FN-95D,"18.079021, -15.965662",1938,https://scalar.usc.edu/works/decoding-diaspora/media/FN-95D.jpg
FN-97A,"38.900497,-77.007507",1834,https://scalar.usc.edu/works/decoding-diaspora/media/FN-97A.jpg
FN-97B,"26.820553, 30.802498",1350BC,https://scalar.usc.edu/works/decoding-diaspora/media/FN-97B.jpg
FN-98A,"40.7128, 74.0060",1815 - 1881,https://scalar.usc.edu/works/decoding-diaspora/media/FN-98A.jpg
FN-98C,"51.507359,  -0.136439",1521,https://scalar.usc.edu/works/decoding-diaspora/media/FN-98C.jpg
FN-98D,"38.7000, 77.4800",1794,https://scalar.usc.edu/works/decoding-diaspora/media/FN-98D.jpg
FN-99A,"48.858093,  2.294694",1967,https://scalar.usc.edu/works/decoding-diaspora/media/FN-99A.jpg
FN-99C,"-37.116666666667 , -12.283055555556",1827,https://scalar.usc.edu/works/decoding-diaspora/media/FN-99C.jpg
